Player,Points
LethalPilot,460
humilau,460
SuperToad916,385
Labmonjo1210,340
lurchlurger,270
IceKing12323,265
mrjad333,265
KirynMissy,200
Hunter13004,200
odsstel,150
Abach6,120
LightningLucario,70
Dispuesto,50
14ham,50
AllieThaDon,0
SerRonanIrwin,0
Star_Dragon4,0
NautilusReign,0
cowDude12345,0
BYTECH,0
sapphronn,0
QuinnQuimby,0
josie_elite,0
tenparks,0
de_eh,0
TLavaExperience,0
tylerj4303,0
Menderlovemybug,0
stealthguy11,0
_Arua_,0
